"_id","content","name"
"38","（图一，二，三，四）这是明朝万历时期，由利玛窦金尼阁汤若望艾儒略等人引入的西洋摄影技术，记录下的当时明军在北京城内开拔，出德胜门前往萨尔浒战场前的珍贵影像资料。很遗憾的是，其中嘉靖朝的忠良之后陈雪飞（图二）壮烈殉国……可歌可泣有两人侥幸生还。图八曾假扮太子的随军道长临阵倒戈，叛明降金，去了东北，背叛祖师爷，做起了大萨满；（图五，六）的沈炼，后来成为北镇抚司，曾与渝化田公公（图七）决战龙门，后与魏忠贤斡旋，又手刃剃发叛明的噼里啪啦赵靖忠，后世拍了两部关于他的电影——《绣春刀》这段往事秘辛，并没有载入正史，长期淹没在历史的洪流中。直到1914年冬至后，洪宪元年，这些照片和佐证才偶然被参与祭天的袁世凯的秘书青山有幸（图七），从岭南老宅墙壁中翻出的一个油纸包的陈旧小黄书中所得，从此大白于天下。","在非洲养狐猴"
"39",":我最有病的时候是在网盘里存了很多喜欢的书，喜欢的电视剧，喜欢的电影，，，而且没有时间或者是时间不够来看它们。我怕是真的有病，明明知道一天只有24个小时，非要当作25个小时来过。其中8个小时在睡觉，1.5个收拾家里，3个小时在玩游戏，2个小时听歌~~~我疯啦！ ​","我想要颗西柚y"
"40","今年奥斯卡提名仪式中，官方专门拍摄了一组短片，帮助观众了解各类电影技术（艺术指导、摄影、服装设计、音效、动画、配乐、特效、剪辑、发型与服装设计）对电影的意义……从无到有，从演员的表演加上剪辑、配乐、特效等等后期加工，最终让故事生动起来，这大概就是电影的魅力吧！整点电影的秒拍视频 ​","人善天不欺"
"41",":曹坤导演的电影《绝杀》，花絮 怪叔叔视频的秒拍视频 ​","怪叔叔视频"
"42",":哈 原来有这么多说法。。《为何监狱里所有犯人都必须剃光头？原来有这么多搞笑说法……》无论时再电影银幕中还是在现实世界，在监狱里边服刑的所有犯人都要被强制剃光所有的头发，光头成为了监狱里边的一道亮丽的风景。http://t.cn/RQ1Fpyi ​","蛙观天-"
"43",":这电影我到现在还没看过 但是装逼 是不能输的[二哈] 咸阳·华宇蓝郡 ​","你是我的雅虎1996"
"44",":#回忆专用小马甲的红包#好运说来就来！回忆专用小马甲 的红包中抽到了@微博电影 提供的“5元电影券”，靠谱又惊喜，快来嗨抢吧！回忆专用小马甲 的红包 ​","1yang__282828"
"45",":#整形医生巫文云的红包#好运说来就来！整形医生巫文云 的红包中抽到了@微博电影 提供的“5元电影券”，靠谱又惊喜，快来嗨抢吧！整形医生巫文云 的红包 ​","叶叶叶叶曦"
"46",":#国民老岳父公的红包#好运说来就来！国民老岳父公 的红包中抽到了@微博电影 提供的“5元电影券”，靠谱又惊喜，快来嗨抢吧！国民老岳父公 的红包 ​","senrym"
"47",":曹坤导演的电影《绝杀》，花絮 怪叔叔视频的秒拍视频 ​","怪叔叔视频"
"48",":哈 原来有这么多说法。。《为何监狱里所有犯人都必须剃光头？原来有这么多搞笑说法……》无论时再电影银幕中还是在现实世界，在监狱里边服刑的所有犯人都要被强制剃光所有的头发，光头成为了监狱里边的一道亮丽的风景。http://t.cn/RQ1Fpyi ​","蛙观天-"
"49","Such a pleasure meeting the voices of Rancho and PK in China! Thank you Huang Bo and Bao Qiang for all the love and warmth...am really touched.Love.a ​","蛋花咸的"
"50",":不是啊，票房怎么还有接锅的[允悲]还“电影大咖也有票房不好的时候”，这个票房根本不是他的原因啊，脸大的说如果没有他票房根本不是现在的样子～一进超话两眼发黑[二哈] ​","白糖糕和蛋包饭"
"51",":这电影我到现在还没看过 但是装逼 是不能输的[二哈] 咸阳·华宇蓝郡 ​","你是我的雅虎1996"
"52",":#整形医生巫文云的红包#好运说来就来！整形医生巫文云 的红包中抽到了@微博电影 提供的“5元电影券”，靠谱又惊喜，快来嗨抢吧！整形医生巫文云 的红包 ​","叶叶叶叶曦"
"53",":#国民老岳父公的红包#好运说来就来！国民老岳父公 的红包中抽到了@微博电影 提供的“5元电影券”，靠谱又惊喜，快来嗨抢吧！国民老岳父公 的红包 ​","senrym"
"54",":经典电影《惊天魔盗团1&2》四骑士重新聚首，借一场大秀意图揭穿一位科技大亨的不义之举，不料行动失败。同时，他们背后的支持者迪伦（马克·鲁法洛饰）自己也深陷危机。幕后黑手正是科学奇才沃尔特（丹尼尔·雷德克里夫饰），他胁迫四骑士去完成一次不可能的偷盗任务。四骑士只剩最后的希望，他们必须上演一场前所未有的魔术秀来为自己正名，揭穿背后主谋。","白菜价汁源666"
"55","@宋茜 @欧豪 几位主演 #电视剧山月不知心底事# 开机仪式现场派发腊八福袋，这么可爱的向远、叶骞泽你们见过吗~ ​","任兆i"
"56",":我们就好像这整个天空的美丽烟火，#百度云网盘#这样的明亮，黄色[广告]小电影这样的温暖，这样的绚烂，看片[广告]网盘可最后还是要在风中渐渐熄灭成冰冷的尘烟。所以，电影[广告]限制我把我无望的缠绵给你，和你一起沉沦。买片事实上，宇从未为我放过烟火。其实，卖片黄昏还有另外一种隐喻，隐喻着一种无奈的宿命，夕阳坠落，黑夜才会降临，所以，小电影小片午夜命中注定，你我无法共存！","此微博已被盗号这逼爱发啥发啥吧"
"57",":#雄狮(2017)[电影]#今晚看了《雄狮》，简直无法用语言表达，拍的太棒了。 哈尔滨·哈尔滨工程大学 ​","糖炒栗子lw"
"58",":瓜：“MY就是那种睡过就忘的人...”我（睡过就忘？！）：“哈....？不是的吧...？你怎么知道...？”瓜：“约过...”我（？约？？）：“什么时候...？”瓜：“今年圣诞节...哦不...去年圣诞节...我前一天说一起去看电影第二天她就忘了...”[吃瓜]请不要把隔天忘事说成睡过就忘...天已经这么冷了不要再拿这种笑话热场了...","休nashew"
"59",":成龙严肃地表示！谈起拍摄这部电影的初衷：完全是为了完成自己带国宝回国的梦想。【十二俏皮可爱王力宏《十二生肖》电影主题曲出炉】《十二生肖》讲述的是一个寻宝的故事 ​","小葵爱大同"
"60",":#赵丽颖#[兔子]#女儿国国王赵丽颖#[haha][haha][haha]即使有一千个人从我身边经过，我依然能够轻松的认出你来，因为其他人踏着的是地，而你却踏着我的心，情人节邀你和我一起看电影，不能拒绝的那种[阴险]@赵丽颖@赵丽颖@赵丽颖 ​","夭色花姿"
"61",":《Coco》、《神秘巨星》、《奇迹男孩》，三部电影都看了，电影内容和传达的信息其实都差不多，但仍旧每一部都被感动的不行热泪盈眶，而且似乎对这一类型的电影上瘾，非常希望看希望被感动，这真的是缺啥就想补啥吧？ ​","瑜公瑾"
"62","我记得你的，你若安好，便是晴天。坚守心有所求，从此无问西东。#电影无问西东##林徽因# ​","laozheng钊勇巍"
"63",":流光容易把人抛，红了樱桃，绿了芭蕉。——蒋捷《一剪梅》 115网盘，会员你懂的不损害别人的事。我们看不惯不平之事，我们也要扫尽不平之事。当你想做看片[广告]网盘恶事时，时刻想着老天在看着你，无数电影[广告]限制只眼睛在看着你。在漫漫人生买片卖片计划途中，当你觊觎什么的时候，记住要收敛你的非分念头。假如你有一颗小电影小片午夜读万卷书，行万里路。——董其昌","谁轮回谁的宿醉"
